,measured,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,t_out,humidity,sim_A,sim_B,sim_C,sim_D,sim_E,predicted_physics,residual_true
2017-01-06 06:00:00,2550.43,6.0,4.0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.6,82.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2664.9242615155504,-114.49426151555053
2017-01-06 07:00:00,2524.48,7.0,4.0,1.0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.9,81.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2691.1067665482724,-166.62676654827237
2017-01-06 08:00:00,2625.52,8.0,4.0,1.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.0,1.0,21.1,80.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2725.8620378651904,-100.34203786519038
2017-01-06 09:00:00,3074.27,9.0,4.0,1.0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.0,1.0,21.6,79.0,376.06077968995095,678.443196855953,183.90980856472206,79.25105307367647,93.73573684505061,2845.3075616074057,228.96243839259432
2017-01-06 11:00:00,3414.39,11.0,4.0,1.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.0,1.0,25.0,68.0,2002.2844498781399,2767.3767802267857,1352.5302751889287,337.31065913587463,404.630655049776,2834.859410643762,579.5305893562377
2017-01-06 12:00:00,3499.87,12.0,4.0,1.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,25.4,67.0,2009.0223346056491,2764.779731446231,1374.1999134419254,333.91962419172967,406.2835348981348,2984.924241958895,514.9457580411049
2017-01-06 13:00:00,3486.4,13.0,4.0,1.0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.0,1.0,24.6,69.0,1447.2272640176143,1857.000078617218,1164.3864376649556,256.6868591886727,304.4345718710875,3059.8914004196877,426.5085995803124
2017-01-06 14:00:00,3593.39,14.0,4.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.0,1.0,23.9,70.0,1439.3315030070423,2705.1645400870143,780.6232444370036,322.3642909925941,397.48616522712524,3104.3312620516176,489.05873794838226
2017-01-06 15:00:00,3687.66,15.0,4.0,1.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.0,1.0,23.6,74.0,1432.2185935942205,2701.857887166176,764.036459510873,323.178949599324,397.02768578843353,3148.1835156660604,539.4764843339394
2017-01-06 16:00:00,3583.84,16.0,4.0,1.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,23.1,76.0,1427.981932516805,2698.2686508201796,756.942858139481,322.86262644643006,396.75321158094965,3159.3087088582643,424.5312911417359
2017-01-06 17:00:00,3720.24,17.0,4.0,1.0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.9,76.0,1419.6208949301365,2687.6836388299907,742.973925771635,321.14016476477843,395.02788454181217,3146.1593571097665,574.0806428902333
2017-01-06 18:00:00,3562.09,18.0,4.0,1.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.7,78.0,808.465650190095,1986.4854102771528,151.38955402348935,197.7075677287229,258.4525454736589,3027.301634654897,534.7883653451031
2017-01-06 19:00:00,3412.89,19.0,4.0,1.0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.8,78.0,808.4656501900948,1402.9329878971744,151.38955402348935,113.00926682796572,141.7554407258576,2996.3329801741575,416.5570198258424
2017-01-06 20:00:00,3119.84,20.0,4.0,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.2,80.0,720.3136253732685,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2940.729249000945,179.1107509990552
2017-01-06 21:00:00,3085.95,21.0,4.0,1.0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.0,1.0,21.4,84.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2883.1392050842314,202.81079491576838
2017-01-06 22:00:00,2970.03,22.0,4.0,1.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.0,1.0,21.8,84.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2834.7943190295005,135.23568097049974
2017-01-06 23:00:00,2858.4,23.0,4.0,1.0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.0,1.0,21.8,84.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2781.9042387027816,76.49576129721845
2017-01-07 00:00:00,2723.45,0.0,5.0,1.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,21.8,85.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2647.3553734079796,76.09462659202018
